"fluorophore","cytometer","channel"
"NovaFluor Red 710","mosaic","R3-A"
"NovaFluor Red 725","mosaic","R4-A"
"NovaFluor Red 755","mosaic","R5-A"
"NovaFluor UV 765","mosaic","U15-A"
"NovaFluor Violet 690","mosaic","V13-A"
"NovaFluor Violet 745","mosaic","V15-A"
"NovaFluor Violet 800","mosaic","V18-A"
"NovaFluor Yellow 570","mosaic","Y1-A"
"NovaFluor Yellow 590","mosaic","Y2-A"
"NovaFluor Yellow 610","mosaic","Y3-A"
"NovaFluor Yellow 660","mosaic","Y5-A"
"NovaFluor Yellow 690","mosaic","Y6-A"
"NovaFluor Yellow 700","mosaic","Y6-A"
"NovaFluor Yellow 730","mosaic","Y7-A"
"NovaFluor Yellow 755","mosaic","Y8-A"
"NovaFluor Yellow 810","mosaic","Y10-A"
"Pacific Blue","mosaic","V3-A"
"Pacific Orange","mosaic","V7-A"
"PE","mosaic","Y1-A"
"PE-Alexa Fluor 610","mosaic","Y4-A"
"PE-Alexa Fluor 700","mosaic","Y7-A"
"PE-CF594","mosaic","Y3-A"
"PE-Cy5","mosaic","Y5-A"
"PE-Cy5.5","mosaic","Y6-A"
"PE-Cy7","mosaic","Y9-A"
"PE-Dazzle 594","mosaic","Y3-A"
"PE-eFluor 610","mosaic","Y3-A"
"PE-Fire 640","mosaic","Y4-A"
"PE-Fire 700","mosaic","Y6-A"
"PE-Fire 744","mosaic","Y8-A"
"PE-Fire 810","mosaic","Y10-A"
"PE-Texas Red","mosaic","Y4-A"
"PE-Vio615","mosaic","Y4-A"
"PE-Vio770","mosaic","Y9-A"
"PerCP","mosaic","B9-A"
"PerCP-Cy5.5","mosaic","B10-A"
"PerCP-eFluor 710","mosaic","B10-A"
"PerCP-Fire 780","mosaic","B13-A"
"PerCP-Fire 806","mosaic","B14-A"
"Propidium Iodide","mosaic","Y5-A"
"Qdot 525","mosaic","V6-A"
"Qdot 545","mosaic","V7-A"
"Qdot 565","mosaic","V8-A"
"Qdot 585","mosaic","V8-A"
"Qdot 605","mosaic","V9-A"
"Qdot 625","mosaic","V10-A"
"Qdot 655","mosaic","V11-A"
"Qdot 705","mosaic","V13-A"
"Qdot 800","mosaic","V18-A"
"R718","mosaic","R4-A"
"RB545","mosaic","B3-A"
"RB613","mosaic","B6-A"
"RB670","mosaic","B9-A"
"RB705","mosaic","B10-A"
"RB744","mosaic","B12-A"
"RB780","mosaic","B13-A"
"RFP","mosaic","Y1-A"
"RR688","mosaic","R3-A"
"RY586","mosaic","Y2-A"
"RY610","mosaic","Y3-A"
"RY655","mosaic","Y5-A"
"RY703","mosaic","Y6-A"
"RY743","mosaic","Y8-A"
"RY775","mosaic","Y9-A"
"SBB580","mosaic","B4-A"
"SBB615","mosaic","B6-A"
"SBB675","mosaic","B9-A"
"SBB700","mosaic","B10-A"
"SBB765","mosaic","B12-A"
"SBB810","mosaic","B14-A"
"SBR670","mosaic","R2-A"
"SBR715","mosaic","R4-A"
"SBR775","mosaic","R6-A"
"SBR815","mosaic","R7-A"
"SBUV400","mosaic","U2-A"
"SBUV445","mosaic","U4-A"
"SBUV510","mosaic","U7-A"
"SBUV540","mosaic","U8-A"
"SBUV575","mosaic","U9-A"
"SBUV605","mosaic","U10-A"
"SBUV665","mosaic","U11-A"
"SBUV700","mosaic","U13-A"
"SBUV740","mosaic","U15-A"
"SBUV770","mosaic","U16-A"
"SBUV795","mosaic","U16-A"
"SBV440","mosaic","V2-A"
"SBV475","mosaic","V4-A"
"SBV515","mosaic","V5-A"
"SBV535","mosaic","V6-A"
"SBV570","mosaic","V8-A"
"SBV610","mosaic","V9-A"
"SBV670","mosaic","V12-A"
"SBV710","mosaic","V13-A"
"SBV760","mosaic","V15-A"
"SBV790","mosaic","V17-A"
"SBY575","mosaic","Y1-A"
"SBY605","mosaic","Y3-A"
"SBY665","mosaic","Y5-A"
"SBY720","mosaic","Y7-A"
"SBY800","mosaic","Y9-A"
"Spark Blue 515","mosaic","B1-A"
"Spark Blue 550","mosaic","B3-A"
"Spark Blue 574","mosaic","B4-A"
"Spark NIR 685","mosaic","R3-A"
"Spark PLUS B550","mosaic","B3-A"
"Spark PLUS Blue 574","mosaic","B4-A"
"Spark PLUS UV 395","mosaic","U2-A"
"Spark PLUS V475","mosaic","V4-A"
"Spark Red 718","mosaic","R4-A"
"Spark UV 387","mosaic","U1-A"
"Spark UV 395","mosaic","U2-A"
"Spark Violet 423","mosaic","V1-A"
"Spark Violet 500","mosaic","V5-A"
"Spark Violet 538","mosaic","V7-A"
"Spark YG 570","mosaic","Y1-A"
"Spark YG 581","mosaic","Y1-A"
"Spark YG 593","mosaic","Y2-A"
"Super Bright 436","mosaic","V2-A"
"Super Bright 600","mosaic","V9-A"
"Super Bright 645","mosaic","V11-A"
"Super Bright 702","mosaic","V13-A"
"Super Bright 780","mosaic","V17-A"
"SYTO 9","mosaic","B1-A"
"SYTOX Blue","mosaic","V3-A"
"SYTOX Green","mosaic","B1-A"
"SYTOX Orange","mosaic","Y1-A"
"SYTOX Red","mosaic","R1-A"
"tdTomato","mosaic","Y2-A"
"Texas Red","mosaic","R1-A"
"TRITC","mosaic","Y2-A"
"Turquoise","mosaic","B1-A"
"V450","mosaic","V2-A"
"V500","mosaic","V5-A"
"V547","mosaic","V7-A"
"ViaKrome 808","mosaic","R5-A"
"VioBright B515","mosaic","B1-A"
"VioBright FITC","mosaic","B1-A"
"VioBright V600","mosaic","V9-A"
"YFP","mosaic","B2-A"
"Zombie Aqua","mosaic","V4-A"
"Zombie Green","mosaic","B1-A"
"Zombie NIR","mosaic","R5-A"
"Zombie Red","mosaic","R1-A"
"Zombie UV","mosaic","U5-A"
"Zombie Violet","mosaic","V2-A"
"Zombie Yellow","mosaic","Y1-A"
"7-AAD","xenith","FL35-A"
"Alexa Fluor 350","xenith","FL10-A"
"Alexa Fluor 405","xenith","FL16-A"
"Alexa Fluor 488","xenith","FL37-A"
"Alexa Fluor 514","xenith","FL36-A"
"Alexa Fluor 532","xenith","FL36-A"
"Alexa Fluor 555","xenith","FL31-A"
"Alexa Fluor 568","xenith","FL34-A"
"Alexa Fluor 594","xenith","FL33-A"
"Alexa Fluor 610","xenith","FL33-A"
"Alexa Fluor 633","xenith","FL46-A"
"Alexa Fluor 647","xenith","FL46-A"
"Alexa Fluor 660","xenith","FL47-A"
"Alexa Fluor 680","xenith","FL47-A"
"Alexa Fluor 700","xenith","FL43-A"
"Alexa Fluor 790","xenith","FL48-A"
"AmCyan","xenith","FL13-A"
"APC","xenith","FL46-A"
"APC-Cy5.5","xenith","FL47-A"
"APC-Cy7","xenith","FL44-A"
"APC-eFluor 780","xenith","FL44-A"
"APC-Fire 750","xenith","FL44-A"
"APC-Fire 810","xenith","FL48-A"
"APC-H7","xenith","FL44-A"
"APC-R700","xenith","FL43-A"
"APC-Vio750","xenith","FL45-A"
"APC-Vio770","xenith","FL44-A"
"BB515","xenith","FL37-A"
"BB630","xenith","FL39-A"
"BB660","xenith","FL42-A"
"BB700","xenith","FL41-A"
"BB755","xenith","FL40-A"
"BB790","xenith","FL40-A"
"BrDU FITC","xenith","FL37-A"
"BUV395","xenith","FL08-A"
"BUV496","xenith","FL06-A"
"BUV563","xenith","FL04-A"
"BUV615","xenith","FL03-A"
"BUV661","xenith","FL00-A"
"BUV737","xenith","FL01-A"
"BUV805","xenith","FL02-A"
"BV421","xenith","FL16-A"
"BV480","xenith","FL18-A"
"BV510","xenith","FL13-A"
"BV570","xenith","FL12-A"
"BV570-T","xenith","FL12-A"
"BV605","xenith","FL23-A"
"BV650","xenith","FL22-A"
"BV711","xenith","FL21-A"
"BV750","xenith","FL19-A"
"BV785","xenith","FL20-A"
"BV786","xenith","FL20-A"
"CellTrace Blue","xenith","FL06-A"
"CellTrace Calcein AM","xenith","FL37-A"
"CellTrace Calcein Blue","xenith","FL10-A"
"CellTrace CFSE","xenith","FL37-A"
"CellTrace Far Red","xenith","FL46-A"
"CellTrace Oregon Green","xenith","FL37-A"
"CellTrace Red","xenith","FL34-A"
"CellTrace Violet","xenith","FL17-A"
"CellTrace Yellow","xenith","FL36-A"
"CF350","xenith","FL09-A"
"CF405L","xenith","FL14-A"
"CF405M","xenith","FL17-A"
"CF405S","xenith","FL15-A"
"CF430","xenith","FL13-A"
"CF440","xenith","FL13-A"
"CF450","xenith","FL37-A"
"CF488A","xenith","FL37-A"
"CF503R","xenith","FL37-A"
"CF514","xenith","FL36-A"
"CF532","xenith","FL36-A"
"CF543","xenith","FL38-A"
"CF550R","xenith","FL31-A"
"CF555","xenith","FL31-A"
"CF568","xenith","FL31-A"
"CF570","xenith","FL32-A"
"CF583","xenith","FL34-A"
"CF594","xenith","FL34-A"
"CF620R","xenith","FL46-A"
"CF633","xenith","FL46-A"
"CF640R","xenith","FL46-A"
"CF647","xenith","FL46-A"
"CF660C","xenith","FL46-A"
"CF660R","xenith","FL46-A"
"CF680","xenith","FL47-A"
"CF680R","xenith","FL47-A"
"CF700","xenith","FL43-A"
"CF710","xenith","FL43-A"
"CF725","xenith","FL45-A"
"CF740","xenith","FL45-A"
"CF750","xenith","FL44-A"
"CF770","xenith","FL48-A"
"CF790","xenith","FL48-A"
"CF800","xenith","FL20-A"
"cFluor B513","xenith","FL37-A"
"cFluor B548","xenith","FL36-A"
"cFluor B610","xenith","FL39-A"
"cFluor B660","xenith","FL42-A"
"cFluor B710","xenith","FL41-A"
"cFluor B760","xenith","FL40-A"
"cFluor R659","xenith","FL46-A"
"cFluor R685","xenith","FL47-A"
"cFluor R720","xenith","FL43-A"
"cFluor R775","xenith","FL44-A"
"cFluor R840","xenith","FL48-A"
"cFluor UV450","xenith","FL10-A"
"cFluor UV610","xenith","FL03-A"
"cFluor V450","xenith","FL15-A"
"cFluor V500","xenith","FL13-A"
"cFluor V610","xenith","FL23-A"
"cFluor V650","xenith","FL22-A"
"cFluor V710","xenith","FL21-A"
"cFluor V785","xenith","FL20-A"
"cFluor YG580","xenith","FL31-A"
"cFluor YG610","xenith","FL34-A"
"cFluor YG667","xenith","FL35-A"
"cFluor YG720","xenith","FL25-A"
"cFluor YG780","xenith","FL28-A"
"Cy3","xenith","FL32-A"
"Cy5","xenith","FL46-A"
"Cy5.5","xenith","FL47-A"
"Cy7","xenith","FL44-A"
"DAPI","xenith","FL17-A"
"DRAQ5","xenith","FL46-A"
"DRAQ7","xenith","FL46-A"
"DyLight 680","xenith","FL47-A"
"DyLight 800","xenith","FL48-A"
"EBFP","xenith","FL17-A"
"ECFP","xenith","FL37-A"
"EdU Alexa 488","xenith","FL37-A"
"EdU Alexa 647","xenith","FL46-A"
"eFluor 450","xenith","FL15-A"
"eFluor 506","xenith","FL13-A"
"eFluor 660","xenith","FL46-A"
"eFluor 780","xenith","FL44-A"
"EYFP","xenith","FL37-A"
"FITC","xenith","FL37-A"
"Fixable Viability Dye eFluor 450","xenith","FL15-A"
"Fixable Viability Dye eFluor 506","xenith","FL13-A"
"Fixable Viability Dye eFluor 520","xenith","FL37-A"
"FVS450","xenith","FL15-A"
"FVS575V","xenith","FL14-A"
"FVS620","xenith","FL23-A"
"FVS660","xenith","FL22-A"
"FVS780","xenith","FL44-A"
"GFP","xenith","FL37-A"
"Hoechst","xenith","FL06-A"
"iRFP670","xenith","FL46-A"
"iRFP720","xenith","FL43-A"
"Keima","xenith","FL34-A"
"KIRAVIA Blue 520","xenith","FL37-A"
"Live-Dead Blue","xenith","FL10-A"
"LIVE/DEAD Aqua","xenith","FL18-A"
"LIVE/DEAD Blue","xenith","FL10-A"
"LIVE/DEAD Fixable Near-IR","xenith","FL45-A"
"LIVE/DEAD Fixable Near-IR 876","xenith","FL50-A"
"mCherry","xenith","FL34-A"
"mCitrine","xenith","FL36-A"
"mFluor Vio610","xenith","FL23-A"
"miRFP670","xenith","FL46-A"
"miRFP703","xenith","FL47-A"
"mKate2","xenith","FL46-A"
"mNeonGreen","xenith","FL37-A"
"mOrange","xenith","FL32-A"
"mPlum","xenith","FL47-A"
"mRuby","xenith","FL34-A"
"mScarlet","xenith","FL35-A"
"mTagBFP2","xenith","FL17-A"
"NovaFluor Blue 510","xenith","FL37-A"
"NovaFluor Blue 530","xenith","FL37-A"
"NovaFluor Blue 555","xenith","FL36-A"
"NovaFluor Blue 585","xenith","FL38-A"
"NovaFluor Blue 610-30S","xenith","FL39-A"
"NovaFluor Blue 610-70S","xenith","FL39-A"
"NovaFluor Blue 660-120S","xenith","FL42-A"
"NovaFluor Blue 660-40S","xenith","FL42-A"
"NovaFluor Blue 690","xenith","FL41-A"
"NovaFluor Blue 725","xenith","FL41-A"
"NovaFluor Blue 760","xenith","FL40-A"
"NovaFluor Blue 800","xenith","FL40-A"
"NovaFluor Red 660","xenith","FL46-A"
"NovaFluor Red 685","xenith","FL47-A"
"NovaFluor Red 700","xenith","FL47-A"
"NovaFluor Red 710","xenith","FL47-A"
"NovaFluor Red 725","xenith","FL43-A"
"NovaFluor Red 755","xenith","FL45-A"
"NovaFluor UV 765","xenith","FL01-A"
"NovaFluor Violet 690","xenith","FL21-A"
"NovaFluor Violet 745","xenith","FL19-A"
"NovaFluor Violet 800","xenith","FL20-A"
"NovaFluor Yellow 570","xenith","FL31-A"
"NovaFluor Yellow 590","xenith","FL32-A"
"NovaFluor Yellow 610","xenith","FL34-A"
"NovaFluor Yellow 660","xenith","FL35-A"
"NovaFluor Yellow 690","xenith","FL26-A"
"NovaFluor Yellow 700","xenith","FL26-A"
"NovaFluor Yellow 730","xenith","FL25-A"
"NovaFluor Yellow 755","xenith","FL28-A"
"NovaFluor Yellow 810","xenith","FL27-A"
"Pacific Blue","xenith","FL17-A"
"Pacific Orange","xenith","FL14-A"
"PE","xenith","FL31-A"
"PE-Alexa Fluor 610","xenith","FL33-A"
"PE-Alexa Fluor 700","xenith","FL25-A"
"PE-CF594","xenith","FL34-A"
"PE-Cy5","xenith","FL35-A"
"PE-Cy5.5","xenith","FL26-A"
"PE-Cy7","xenith","FL28-A"
"PE-Dazzle 594","xenith","FL34-A"
"PE-eFluor 610","xenith","FL34-A"
"PE-Fire 640","xenith","FL33-A"
"PE-Fire 700","xenith","FL26-A"
"PE-Fire 744","xenith","FL28-A"
"PE-Fire 810","xenith","FL27-A"
"PE-Texas Red","xenith","FL33-A"
"PE-Vio615","xenith","FL33-A"
"PE-Vio770","xenith","FL28-A"
"PerCP","xenith","FL42-A"
"PerCP-Cy5.5","xenith","FL41-A"
"PerCP-eFluor 710","xenith","FL41-A"
"PerCP-Fire 780","xenith","FL40-A"
"PerCP-Fire 806","xenith","FL40-A"
"Propidium Iodide","xenith","FL35-A"
"Qdot 525","xenith","FL14-A"
"Qdot 545","xenith","FL14-A"
"Qdot 565","xenith","FL12-A"
"Qdot 585","xenith","FL23-A"
"Qdot 605","xenith","FL23-A"
"Qdot 625","xenith","FL23-A"
"Qdot 655","xenith","FL22-A"
"Qdot 705","xenith","FL21-A"
"Qdot 800","xenith","FL20-A"
"R718","xenith","FL43-A"
"RB545","xenith","FL36-A"
"RB613","xenith","FL39-A"
"RB670","xenith","FL42-A"
"RB705","xenith","FL41-A"
"RB744","xenith","FL40-A"
"RB780","xenith","FL40-A"
"RFP","xenith","FL31-A"
"RR688","xenith","FL47-A"
"RY586","xenith","FL32-A"
"RY610","xenith","FL34-A"
"RY655","xenith","FL35-A"
"RY703","xenith","FL26-A"
"RY743","xenith","FL28-A"
"RY775","xenith","FL28-A"
"SBB580","xenith","FL38-A"
"SBB615","xenith","FL39-A"
"SBB675","xenith","FL42-A"
"SBB700","xenith","FL41-A"
"SBB765","xenith","FL40-A"
"SBB810","xenith","FL40-A"
"SBR670","xenith","FL46-A"
"SBR715","xenith","FL43-A"
"SBR775","xenith","FL44-A"
"SBR815","xenith","FL48-A"
"SBUV400","xenith","FL07-A"
"SBUV445","xenith","FL10-A"
"SBUV510","xenith","FL06-A"
"SBUV540","xenith","FL05-A"
"SBUV575","xenith","FL04-A"
"SBUV605","xenith","FL03-A"
"SBUV665","xenith","FL00-A"
"SBUV700","xenith","FL01-A"
"SBUV740","xenith","FL01-A"
"SBUV770","xenith","FL02-A"
"SBUV795","xenith","FL02-A"
"SBV440","xenith","FL15-A"
"SBV475","xenith","FL18-A"
"SBV515","xenith","FL13-A"
"SBV535","xenith","FL14-A"
"SBV570","xenith","FL12-A"
"SBV610","xenith","FL23-A"
"SBV670","xenith","FL22-A"
"SBV710","xenith","FL21-A"
"SBV760","xenith","FL19-A"
"SBV790","xenith","FL20-A"
"SBY575","xenith","FL31-A"
"SBY605","xenith","FL34-A"
"SBY665","xenith","FL35-A"
"SBY720","xenith","FL25-A"
"SBY800","xenith","FL28-A"
"Spark Blue 515","xenith","FL37-A"
"Spark Blue 550","xenith","FL36-A"
"Spark Blue 574","xenith","FL38-A"
"Spark NIR 685","xenith","FL47-A"
"Spark PLUS B550","xenith","FL36-A"
"Spark PLUS Blue 574","xenith","FL38-A"
"Spark PLUS UV 395","xenith","FL07-A"
"Spark PLUS V475","xenith","FL18-A"
"Spark Red 718","xenith","FL43-A"
"Spark UV 387","xenith","FL07-A"
"Spark UV 395","xenith","FL07-A"
"Spark Violet 423","xenith","FL16-A"
"Spark Violet 500","xenith","FL13-A"
"Spark Violet 538","xenith","FL14-A"
"Spark YG 570","xenith","FL31-A"
"Spark YG 581","xenith","FL31-A"
"Spark YG 593","xenith","FL32-A"
"Super Bright 436","xenith","FL15-A"
"Super Bright 600","xenith","FL23-A"
"Super Bright 645","xenith","FL22-A"
"Super Bright 702","xenith","FL21-A"
"Super Bright 780","xenith","FL20-A"
"SYTO 9","xenith","FL37-A"
"SYTOX Blue","xenith","FL17-A"
"SYTOX Green","xenith","FL37-A"
"SYTOX Orange","xenith","FL31-A"
"SYTOX Red","xenith","FL46-A"
"tdTomato","xenith","FL32-A"
"Texas Red","xenith","FL46-A"
"TRITC","xenith","FL32-A"
"Turquoise","xenith","FL37-A"
"V450","xenith","FL15-A"
"V500","xenith","FL13-A"
"V547","xenith","FL14-A"
"ViaKrome 808","xenith","FL45-A"
"VioBright B515","xenith","FL37-A"
"VioBright FITC","xenith","FL37-A"
"VioBright V600","xenith","FL23-A"
"YFP","xenith","FL37-A"
"Zombie Aqua","xenith","FL18-A"
"Zombie Green","xenith","FL37-A"
"Zombie NIR","xenith","FL45-A"
"Zombie Red","xenith","FL46-A"
"Zombie UV","xenith","FL09-A"
"Zombie Violet","xenith","FL15-A"
"Zombie Yellow","xenith","FL31-A"
"7-AAD","a5se","YG660-A"
"Alexa Fluor 350","a5se","UV446-A"
"Alexa Fluor 405","a5se","V427-A"
"Alexa Fluor 488","a5se","B510-A"
"Alexa Fluor 514","a5se","B537-A"
"Alexa Fluor 532","a5se","B537-A"
"Alexa Fluor 555","a5se","YG585-A"
"Alexa Fluor 568","a5se","YG602-A"
"Alexa Fluor 594","a5se","YG602-A"
"Alexa Fluor 610","a5se","YG602-A"
"Alexa Fluor 633","a5se","R660-A"
"Alexa Fluor 647","a5se","R675-A"
"Alexa Fluor 660","a5se","R675-A"
"Alexa Fluor 680","a5se","R680-A"
"Alexa Fluor 700","a5se","R710-A"
"Alexa Fluor 790","a5se","R780-A"
"AmCyan","a5se","V510-A"
"APC","a5se","R660-A"
"APC-Cy5.5","a5se","R710-A"
"APC-Cy7","a5se","R780-A"
"APC-eFluor 780","a5se","R780-A"
"APC-Fire 750","a5se","R780-A"
"APC-Fire 810","a5se","R780-A"
"APC-H7","a5se","R780-A"
"APC-R700","a5se","R710-A"
"APC-Vio750","a5se","R780-A"
"APC-Vio770","a5se","R780-A"
"BB515","a5se","B510-A"
"BB630","a5se","B602-A"
"BB660","a5se","B660-A"
"BB700","a5se","B710-A"
"BB755","a5se","B750-A"
"BB790","a5se","B810-A"
"BrDU FITC","a5se","B510-A"
"BUV395","a5se","UV379-A"
"BUV496","a5se","UV515-A"
"BUV563","a5se","UV585-A"
"BUV615","a5se","UV610-A"
"BUV661","a5se","UV660-A"
"BUV737","a5se","UV736-A"
"BUV805","a5se","UV809-A"
"BV421","a5se","V427-A"
"BV480","a5se","V470-A"
"BV510","a5se","V510-A"
"BV570","a5se","V576-A"
"BV570-T","a5se","V576-A"
"BV605","a5se","V615-A"
"BV650","a5se","V660-A"
"BV711","a5se","V710-A"
"BV750","a5se","V750-A"
"BV785","a5se","V785-A"
"BV786","a5se","V785-A"
"CellTrace Blue","a5se","UV515-A"
"CellTrace Calcein AM","a5se","B510-A"
"CellTrace Calcein Blue","a5se","UV446-A"
"CellTrace CFSE","a5se","B510-A"
"CellTrace Far Red","a5se","R675-A"
"CellTrace Oregon Green","a5se","B510-A"
"CellTrace Red","a5se","YG602-A"
"CellTrace Violet","a5se","V450-A"
"CellTrace Yellow","a5se","B537-A"
"CF350","a5se","UV446-A"
"CF405L","a5se","V540-A"
"CF405M","a5se","V450-A"
"CF405S","a5se","V427-A"
"CF430","a5se","V510-A"
"CF440","a5se","V510-A"
"CF450","a5se","B510-A"
"CF488A","a5se","B510-A"
"CF503R","a5se","B537-A"
"CF514","a5se","B537-A"
"CF532","a5se","B537-A"
"CF543","a5se","YG585-A"
"CF550R","a5se","YG585-A"
"CF555","a5se","YG585-A"
"CF568","a5se","YG585-A"
"CF570","a5se","YG585-A"
"CF583","a5se","YG602-A"
"CF594","a5se","YG602-A"
"CF620R","a5se","R660-A"
"CF633","a5se","R660-A"
"CF640R","a5se","R660-A"
"CF647","a5se","R675-A"
"CF660C","a5se","R680-A"
"CF660R","a5se","R680-A"
"CF680","a5se","R710-A"
"CF680R","a5se","R710-A"
"CF700","a5se","R730-A"
"CF710","a5se","R730-A"
"CF725","a5se","R730-A"
"CF740","a5se","R730-A"
"CF750","a5se","R780-A"
"CF770","a5se","R780-A"
"CF790","a5se","R780-A"
"CF800","a5se","V845-A"
"cFluor B513","a5se","B510-A"
"cFluor B548","a5se","B537-A"
"cFluor B610","a5se","B602-A"
"cFluor B660","a5se","B660-A"
"cFluor B710","a5se","B710-A"
"cFluor B760","a5se","B750-A"
"cFluor R659","a5se","R660-A"
"cFluor R685","a5se","R680-A"
"cFluor R720","a5se","R710-A"
"cFluor R775","a5se","R780-A"
"cFluor R840","a5se","R780-A"
"cFluor UV450","a5se","UV446-A"
"cFluor UV610","a5se","UV610-A"
"cFluor V450","a5se","V450-A"
"cFluor V500","a5se","V510-A"
"cFluor V610","a5se","V615-A"
"cFluor V650","a5se","V660-A"
"cFluor V710","a5se","V710-A"
"cFluor V785","a5se","V785-A"
"cFluor YG580","a5se","YG585-A"
"cFluor YG610","a5se","YG602-A"
"cFluor YG667","a5se","YG670-A"
"cFluor YG720","a5se","YG730-A"
"cFluor YG780","a5se","YG780-A"
"Cy3","a5se","YG585-A"
"Cy5","a5se","R660-A"
"Cy5.5","a5se","R710-A"
"Cy7","a5se","R780-A"
"DAPI","a5se","V450-A"
"DRAQ5","a5se","R675-A"
"DRAQ7","a5se","R675-A"
"DyLight 680","a5se","R680-A"
"DyLight 800","a5se","R780-A"
"EBFP","a5se","V450-A"
"ECFP","a5se","B510-A"
"EdU Alexa 488","a5se","B510-A"
"EdU Alexa 647","a5se","R675-A"
"eFluor 450","a5se","V450-A"
"eFluor 506","a5se","V510-A"
"eFluor 660","a5se","R675-A"
"eFluor 780","a5se","R780-A"
"EYFP","a5se","B537-A"
"FITC","a5se","B510-A"
"Fixable Viability Dye eFluor 450","a5se","V450-A"
"Fixable Viability Dye eFluor 506","a5se","V510-A"
"Fixable Viability Dye eFluor 520","a5se","B510-A"
"FVS450","a5se","V450-A"
"FVS575V","a5se","V576-A"
"FVS620","a5se","V615-A"
"FVS660","a5se","V660-A"
"FVS780","a5se","R780-A"
"GFP","a5se","B510-A"
"Hoechst","a5se","UV446-A"
"iRFP670","a5se","R660-A"
"iRFP720","a5se","R710-A"
"Keima","a5se","YG602-A"
"KIRAVIA Blue 520","a5se","B510-A"
"Live-Dead Blue","a5se","UV446-A"
"LIVE/DEAD Aqua","a5se","V470-A"
"LIVE/DEAD Blue","a5se","UV446-A"
"LIVE/DEAD Fixable Near-IR","a5se","R780-A"
"mCherry","a5se","YG602-A"
"mCitrine","a5se","B537-A"
"mFluor Vio610","a5se","V615-A"
"miRFP670","a5se","R660-A"
"miRFP703","a5se","R710-A"
"mKate2","a5se","R660-A"
"mNeonGreen","a5se","B510-A"
"mOrange","a5se","YG602-A"
"mPlum","a5se","R680-A"
"mRuby","a5se","YG602-A"
"mScarlet","a5se","YG660-A"
"mTagBFP2","a5se","V450-A"
"NovaFluor Blue 510","a5se","B510-A"
"NovaFluor Blue 530","a5se","B537-A"
"NovaFluor Blue 555","a5se","B537-A"
"NovaFluor Blue 585","a5se","B576-A"
"NovaFluor Blue 610-30S","a5se","B602-A"
"NovaFluor Blue 610-70S","a5se","B602-A"
"NovaFluor Blue 660-120S","a5se","B660-A"
"NovaFluor Blue 660-40S","a5se","B660-A"
"NovaFluor Blue 690","a5se","B675-A"
"NovaFluor Blue 725","a5se","B710-A"
"NovaFluor Blue 760","a5se","B750-A"
"NovaFluor Blue 800","a5se","B810-A"
"NovaFluor Red 660","a5se","R660-A"
"NovaFluor Red 685","a5se","R680-A"
"NovaFluor Red 700","a5se","R710-A"
"NovaFluor Red 710","a5se","R710-A"
"NovaFluor Red 725","a5se","R730-A"
"NovaFluor Red 755","a5se","R780-A"
"NovaFluor UV 765","a5se","UV736-A"
"NovaFluor Violet 690","a5se","V680-A"
"NovaFluor Violet 745","a5se","V750-A"
"NovaFluor Violet 800","a5se","V845-A"
"NovaFluor Yellow 570","a5se","YG585-A"
"NovaFluor Yellow 590","a5se","YG585-A"
"NovaFluor Yellow 610","a5se","YG602-A"
"NovaFluor Yellow 660","a5se","YG660-A"
"NovaFluor Yellow 690","a5se","YG695-A"
"NovaFluor Yellow 700","a5se","YG695-A"
"NovaFluor Yellow 730","a5se","YG730-A"
"NovaFluor Yellow 755","a5se","YG750-A"
"NovaFluor Yellow 810","a5se","YG825-A"
"Pacific Blue","a5se","V450-A"
"Pacific Orange","a5se","V540-A"
"PE","a5se","YG585-A"
"PE-Alexa Fluor 610","a5se","YG602-A"
"PE-Alexa Fluor 700","a5se","YG730-A"
"PE-CF594","a5se","YG602-A"
"PE-Cy5","a5se","YG670-A"
"PE-Cy5.5","a5se","YG695-A"
"PE-Cy7","a5se","YG780-A"
"PE-Dazzle 594","a5se","YG602-A"
"PE-eFluor 610","a5se","YG602-A"
"PE-Fire 640","a5se","YG660-A"
"PE-Fire 700","a5se","YG695-A"
"PE-Fire 744","a5se","YG750-A"
"PE-Fire 810","a5se","YG825-A"
"PE-Texas Red","a5se","YG602-A"
"PE-Vio615","a5se","YG602-A"
"PE-Vio770","a5se","YG780-A"
"PerCP","a5se","B675-A"
"PerCP-Cy5.5","a5se","B710-A"
"PerCP-eFluor 710","a5se","B710-A"
"PerCP-Fire 780","a5se","B750-A"
"PerCP-Fire 806","a5se","B810-A"
"Propidium Iodide","a5se","YG660-A"
"Qdot 525","a5se","V510-A"
"Qdot 545","a5se","V540-A"
"Qdot 565","a5se","V540-A"
"Qdot 585","a5se","V576-A"
"Qdot 605","a5se","V615-A"
"Qdot 625","a5se","V615-A"
"Qdot 655","a5se","V660-A"
"Qdot 705","a5se","V710-A"
"Qdot 800","a5se","V785-A"
"R718","a5se","R710-A"
"RB545","a5se","B537-A"
"RB613","a5se","B602-A"
"RB670","a5se","B660-A"
"RB705","a5se","B710-A"
"RB744","a5se","B750-A"
"RB780","a5se","B810-A"
"RFP","a5se","YG585-A"
"RR688","a5se","R680-A"
"RY586","a5se","YG585-A"
"RY610","a5se","YG602-A"
"RY655","a5se","YG660-A"
"RY703","a5se","YG695-A"
"RY743","a5se","YG750-A"
"RY775","a5se","YG780-A"
